x,y,phenotype,ROIs
0.943935258198203,0.31230148038624805,C,ROIs_1
0.10819663154058667,0.15445902974255987,B,ROIs_1
0.6848971555829204,0.4138585528447267,C,ROIs_2
0.08329289558520314,0.8732314376299378,A,ROIs_1
0.9681103300468946,0.5405095556963027,A,ROIs_2
0.8862807957557871,0.004670760736396828,A,ROIs_2
0.5129270929577874,0.9063037730010164,C,ROIs_1
0.12252319223544017,0.552897130731054,C,ROIs_1
0.08689556998677384,0.6094064023387232,C,ROIs_1
0.8636225415579428,0.8646410938337535,A,ROIs_2
0.2297424805021503,0.5503755814824604,B,ROIs_1
0.8683509987933518,0.34236630966962855,A,ROIs_2
0.5665718986103513,0.2468457617146811,A,ROIs_2
0.6137098417684687,0.3885643806568393,C,ROIs_1
0.5622049290278791,0.8530159011649172,B,ROIs_2
0.2579483364031907,0.980019204932696,A,ROIs_1
0.7502313106220874,0.06788331483069543,A,ROIs_2
0.912759444542322,0.2660707827749019,A,ROIs_1
0.6052197219307327,0.44969736240502045,B,ROIs_2
0.3173179682027589,0.21645688365248605,A,ROIs_2
0.4493182836059102,0.9028445539643355,B,ROIs_2
0.41015538172941035,0.657449780108123,B,ROIs_1
0.9940308014524272,0.17326652758538508,C,ROIs_2
0.5221232729177993,0.17565879796146355,B,ROIs_2
0.7222315965964738,0.8225883074036158,B,ROIs_1
0.41390979952942364,0.7519987400454489,A,ROIs_2
0.5533612198376978,0.4415495202600047,B,ROIs_1
0.7419428482730056,0.4016792583342401,A,ROIs_1
0.7798924411646238,0.43760524681729385,A,ROIs_1
0.6454918420059154,0.11680592573983894,C,ROIs_2
0.11108340910429604,0.14447670831477377,B,ROIs_1
0.7939293119870038,0.5206923820726607,C,ROIs_1
0.7105786677382829,0.6321194578422701,C,ROIs_1
0.10168747579934911,0.8561645083654055,A,ROIs_2
0.9122963835043303,0.5579294365930708,B,ROIs_2
0.7459996756374048,0.2342002644847263,B,ROIs_2
0.329328143007827,0.19148541557165666,A,ROIs_2
0.9704740822122422,0.3373913975174112,A,ROIs_1
0.11918213538887079,0.7486002809946785,A,ROIs_1
0.7248963619412379,0.06153621256026476,B,ROIs_2
0.6002889813779662,0.6318474454123272,A,ROIs_2
0.4951564707271465,0.22945630634556546,C,ROIs_2
0.7286326978649275,0.8332455767906485,B,ROIs_2
0.7073206414111373,0.8386029342696252,A,ROIs_2
0.4350481290135302,0.0021924416973596594,C,ROIs_1
0.23690809644669397,0.476826019123751,A,ROIs_2
0.09610037411239913,0.090302147404276,A,ROIs_1
0.1874005357179357,0.9243036607866698,B,ROIs_1
0.13179782917127458,0.7747991167654543,B,ROIs_2
0.11888087849158746,0.9016416216502372,C,ROIs_1
0.9557511315943837,0.4755140695276666,B,ROIs_1
0.8757173562519522,0.939182852240838,A,ROIs_1
0.05799591226138068,0.30132794653945905,A,ROIs_2
0.7042980205794774,0.48633740091853905,B,ROIs_2
0.5720828903021008,0.2409789873491972,C,ROIs_1
0.915304868911819,0.40836139020668505,A,ROIs_1
0.859233339195159,0.050303755193506494,C,ROIs_1
0.15146710148436082,0.70473916180098,A,ROIs_1
0.3415860957302147,0.2620869700063102,C,ROIs_2
0.5264646149627369,0.3985429848856349,B,ROIs_1
0.8023667117132504,0.5170552296735011,C,ROIs_2
0.43361236543769643,0.349151239672955,B,ROIs_2
0.8224162012703886,0.9032593558168048,C,ROIs_2
0.9892420110986727,0.25429630866483977,B,ROIs_1
0.2848497945964169,0.536175254739555,C,ROIs_2
0.6768363357569157,0.5041982279082216,C,ROIs_1
0.884756857244583,0.9178149343136154,A,ROIs_2
0.6296676556563748,0.3972842469202287,A,ROIs_2
