x,y,phenotype,ROIs
0.8634731891087243,0.9377591689944809,C,ROIs_2
0.91809484081823,0.882237062518503,B,ROIs_2
0.9253262504143097,0.8925759704693823,C,ROIs_2
0.041370718223252556,0.7610773574074879,B,ROIs_1
0.31309392046524265,0.04992319663053957,C,ROIs_2
0.8844124809620931,0.3096915849701555,A,ROIs_1
0.5585820030536751,0.19070942050410022,A,ROIs_1
0.9878581566525356,0.3590539597497925,A,ROIs_2
0.29417534107256826,0.8094617040474195,C,ROIs_2
0.6421061057290182,0.5808975462549951,A,ROIs_2
0.36749552686137565,0.34298723425912503,C,ROIs_2
0.5239376780347629,0.5059636518154249,B,ROIs_1
0.5162493364814955,0.7750786913860749,A,ROIs_2
0.768871330507436,0.20703676073381327,B,ROIs_2
0.5692577885210047,0.7031696527627304,B,ROIs_1
0.5053243988854697,0.741982522028051,A,ROIs_1
0.324554528691711,0.3275470620806087,C,ROIs_1
0.3726281382030413,0.09563587635507276,A,ROIs_1
0.12433835821179251,0.10261460257037036,B,ROIs_2
0.22880532008569965,0.5952523361558703,B,ROIs_2
0.29991144331039554,0.04779739413475903,B,ROIs_1
0.10502736895979581,0.8973664217607478,A,ROIs_1
0.8304470329394222,0.5973475500069544,A,ROIs_2
0.8484715793015227,0.2244765404631146,C,ROIs_1
0.7661192052653721,0.07575065668326986,A,ROIs_1
0.5956110081873114,0.7191300076942231,B,ROIs_2
0.5481018277804915,0.6210428054462409,A,ROIs_2
0.0457080690903513,0.311508605107648,A,ROIs_2
0.7115216845321826,0.8632148003208782,C,ROIs_2
0.8112764961145387,0.7316922951541034,C,ROIs_2
0.8701747447655962,0.329268059620055,A,ROIs_2
0.4903552900073377,0.6207852865550733,C,ROIs_1
0.037396105260029344,0.8076099252203013,A,ROIs_2
0.003909303217780491,0.3309058374618735,C,ROIs_2
0.47230026212977505,0.055414421015836934,A,ROIs_1
0.8179693423893973,0.32964753079950404,A,ROIs_1
0.19718226523319182,0.7440420865387971,C,ROIs_1
0.7900081315727505,0.13199240887206665,C,ROIs_1
0.43005711216611864,0.4773890496354616,A,ROIs_1
0.20437768264262868,0.6556555128082209,B,ROIs_1
0.5984116001039472,0.5700370482492949,B,ROIs_2
0.5159598215799448,0.8479155182671555,B,ROIs_2
0.5739532333287667,0.025944996523017183,B,ROIs_1
0.5655405615925573,0.8667591173961482,A,ROIs_2
0.25019076930291406,0.6760668459937075,B,ROIs_1
0.5034114992450902,0.8875244575785367,C,ROIs_1
0.9417979539681393,0.8326237080998895,C,ROIs_2
0.8940315463299935,0.8722670317420768,B,ROIs_2
0.3881036605585112,0.3669867852087272,B,ROIs_1
0.8827594974573744,0.7558262923049607,C,ROIs_2
0.07258364736679801,0.8542641561373779,A,ROIs_1
0.49646972759165053,0.1624148489727134,B,ROIs_1
0.6202267671546839,0.560616030705831,B,ROIs_1
0.7151021711685772,0.10957538221741758,B,ROIs_2
0.9880734916476587,0.3671065105506782,A,ROIs_1
0.8596253009537588,0.13626774201767244,C,ROIs_2
0.005209229627815337,0.28220959990556027,C,ROIs_1
