x,y,phenotype,ROIs
0.9014829859161109,0.010671596820784224,C,ROIs_1
0.1710303880840851,0.2272512798193771,B,ROIs_2
0.8182277292900195,0.5227426676406023,A,ROIs_2
0.39795656075299435,0.39259440540855217,A,ROIs_1
0.8616345372242413,0.09264198457363615,A,ROIs_1
0.7464306285749135,0.5002951627399868,B,ROIs_2
0.8144351816239842,0.9306055129596207,B,ROIs_2
0.2763924919955858,0.522562645477999,A,ROIs_2
0.07831229360897507,0.7432283825982078,C,ROIs_2
0.9522267652476705,0.16741365519213713,B,ROIs_2
0.2025122793786298,0.3411653214121264,B,ROIs_2
0.9289284353586298,0.6087058698921132,C,ROIs_2
0.888103807329404,0.7222946099288274,C,ROIs_2
0.11142186142471233,0.008134538295847427,B,ROIs_2
0.1726236192997912,0.4487812094693404,B,ROIs_1
0.12606993643735898,0.8013022031888722,A,ROIs_1
0.6743976547835079,0.5506181306370197,B,ROIs_2
0.7374461877883193,0.7392869664974449,C,ROIs_2
0.3442893545265926,0.739987734407188,B,ROIs_2
0.05165493879223937,0.7534576541243029,C,ROIs_1
0.6467085942658706,0.9707762051801643,B,ROIs_1
0.6126395989836569,0.5902772941650711,C,ROIs_2
0.2686983907633391,0.33092014460042807,B,ROIs_1
0.9491107750657686,0.880154502571052,B,ROIs_2
0.6596812443041943,0.8457655669338743,B,ROIs_2
0.8934809385035742,0.7759790233509123,C,ROIs_1
0.4808401942918049,0.2162825597848812,C,ROIs_2
0.6948653511872548,0.49071667529883745,B,ROIs_1
0.8938850389829581,0.91983461028284,C,ROIs_2
0.007444072968477267,0.03241959202921019,C,ROIs_1
